,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
participant_intercept[121],0.94,0.987,-0.878,2.822,0.005,0.006,42655.0,10484.0,1.0
participant_intercept[122],-0.544,0.989,-2.429,1.268,0.005,0.008,39911.0,10063.0,1.0
participant_intercept[123],0.934,0.981,-0.942,2.722,0.005,0.006,36970.0,10963.0,1.0
participant_intercept[124],-0.339,0.98,-2.144,1.519,0.005,0.009,41448.0,10099.0,1.0
participant_intercept[125],-0.526,0.988,-2.31,1.399,0.005,0.008,38235.0,10935.0,1.0
participant_intercept[126],2.338,0.957,0.537,4.098,0.005,0.004,43771.0,11195.0,1.0
participant_intercept[127],0.752,0.997,-1.096,2.636,0.005,0.007,34656.0,11317.0,1.0
participant_intercept[128],-0.616,0.99,-2.388,1.295,0.005,0.008,37194.0,10119.0,1.0
participant_intercept[129],-1.143,0.978,-2.983,0.65,0.005,0.006,39498.0,10265.0,1.0
participant_intercept[130],-0.631,0.976,-2.417,1.268,0.005,0.007,39754.0,10493.0,1.0
participant_intercept[131],0.934,0.98,-0.92,2.715,0.005,0.006,37927.0,10593.0,1.0
participant_intercept[132],0.427,0.998,-1.431,2.312,0.005,0.009,39973.0,10669.0,1.0
participant_intercept[133],-0.833,0.994,-2.704,1.037,0.005,0.007,39500.0,10012.0,1.0
participant_intercept[134],0.046,0.988,-1.723,1.982,0.005,0.01,37265.0,10678.0,1.0
participant_intercept[135],-0.906,0.986,-2.84,0.867,0.005,0.006,35853.0,11123.0,1.0
participant_intercept[136],-1.241,0.965,-3.034,0.562,0.005,0.005,38014.0,10390.0,1.0
participant_intercept[137],0.256,0.986,-1.567,2.14,0.005,0.009,41269.0,11254.0,1.0
participant_intercept[138],0.872,0.961,-0.887,2.737,0.005,0.007,35264.0,9827.0,1.0
participant_intercept[139],-0.425,0.996,-2.312,1.449,0.005,0.009,39797.0,10230.0,1.0
participant_intercept[140],0.933,1.007,-0.994,2.772,0.005,0.007,36982.0,10313.0,1.0
